cell id, neuron length (m), surface area (m^2), axial resistance (Ohm), membrane capacitance (F), membrane resistance (Ohm)
ADAL,8.27711153393e-05,1.25715381581e-10,836232056.995,1.25809827828e-12,2.71239983358e+14
ADAR,8.27094523003e-05,1.2564352083e-10,861583248.817,1.25023931311e-12,2.45683483678e+14
ADEL,0.000182822251798,2.56180439166e-10,2356868146.85,2.66113969601e-12,1.74773316325e+14
ADER,0.000177538913755,2.42581558917e-10,2351376498.93,2.49220385513e-12,1.93401675361e+14
ADFL,0.000154956013582,2.69688853657e-10,1164851741.11,2.74765182238e-12,1.15434259727e+14
ADFR,0.000154904094621,2.6631377632e-10,1215760401.53,2.70135547455e-12,1.17902891587e+14
ADLL,0.000219026979926,3.71027314068e-10,1960658442.14,3.70863491951e-12,1.83336881322e+14
ADLR,0.000219017564391,3.82648107957e-10,1721410945.58,3.93146282139e-12,1.7163072469e+14
AFDL,0.000154311467864,2.65376160032e-10,1188381947.35,2.68684215521e-12,1.19308263482e+14
AFDR,0.000154263947235,2.63344591512e-10,1236654358.98,2.67211853771e-12,1.25521989385e+14
AIAL,3.14121613139e-05,4.84168688687e-11,309149385.014,4.83197234013e-13,2.52724826064e+14
AIAR,3.13557842975e-05,4.72283114429e-11,344669870.512,4.71425633414e-13,2.5436663487e+14
AIBL,7.67058531387e-05,1.13058935102e-10,868625650.742,1.12003671699e-12,2.3767040251e+14
AIBR,7.67106670722e-05,1.1107898372e-10,903429075.245,1.09956085399e-12,2.32175843752e+14
AIML,4.69372399112e-05,5.78437129544e-11,819975218.69,5.6823533525e-13,1.92764016173e+14
AIMR,4.68907515129e-05,5.56685584177e-11,957476413.626,5.38892616324e-13,1.89100417688e+14
AINL,8.38488608131e-05,1.25052847418e-10,900131236.199,1.23593157561e-12,4.15116574254e+13
AINR,8.38822499926e-05,1.24433666738e-10,907735721.721,1.22516259906e-12,4.11749813406e+13
AIYL,4.68418094362e-05,6.59446983521e-11,544433749.947,6.5931099662e-13,1.21675558694e+14
AIYR,4.6788021775e-05,6.45249623785e-11,584905955.661,6.45172798201e-13,1.30104388635e+14
AIZL,5.35924187362e-05,7.36489258448e-11,667560322.066,7.39275039692e-13,1.76322933657e+14
AIZR,5.36056693322e-05,7.49541310552e-11,656045666.245,7.48586058236e-13,1.7902614274e+14
ALA,0.000731312092998,1.58609957443e-09,3563225158.21,1.58076223186e-11,7.99523448273e+13
ALML,0.000816178521096,2.00452588691e-09,3146673951.58,2.0832125038e-11,7.01835901921e+13
ALMR,0.000814202257144,1.97409509829e-09,3196935360.31,2.02692675527e-11,6.96510247159e+13
ALNL,0.0014655720373,1.6758485414e-09,22330096669.5,1.82492428087e-11,3.62731676176e+14
ALNR,0.00146594782118,1.53551721858e-09,28188977854.0,1.68171107022e-11,4.28096575917e+14
AQR,0.000194177753092,3.67570373345e-10,2134850760.19,2.8293973803e-12,2.10012704952e+14
AS01,0.000247248816247,4.78613169794e-10,1435951619.67,4.92505277689e-12,3.95702421836e+13
AS01,0.000299473584833,5.44388768821e-10,2107414108.48,5.38892929567e-12,4.53125183728e+13
AS01,0.000248840802156,4.68052088558e-10,1526377507.2,4.87045839726e-12,5.14032233578e+13
AS02,0.000224699453326,4.65165013204e-10,1129054458.01,5.01871846403e-12,3.55174833476e+13
AS03,0.000274023481042,4.94075648876e-10,2095712098.63,4.84407689761e-12,4.86384822348e+13
AS04,0.000323286882167,6.51722949143e-10,1727247995.93,6.7845102026e-12,3.80751216128e+13
AS05,0.00033316724073,7.0016086681e-10,1805020280.18,7.05960607803e-12,3.93389333999e+13
AS06,0.000300556525719,6.63242975554e-10,1415068037.2,7.09989648068e-12,3.55175163674e+13
AS07,0.000376671670642,6.8420648572e-10,2829674091.41,6.70375809703e-12,4.66158943749e+13
AS08,0.000457301481637,8.33311108257e-10,3430705306.86,8.16084704279e-12,5.19480351155e+13
AS09,0.000338433868453,6.91739297398e-10,1758290249.21,7.35542202287e-12,4.02869382781e+13
ASEL,0.000175982190956,2.85640859992e-10,1581924745.74,2.89153365511e-12,1.71241578913e+14
ASER,0.000175961667891,2.81321446067e-10,1640690475.78,2.84532466152e-12,1.73720757323e+14
ASGL,0.000218068932059,3.81493924552e-10,1636311963.49,3.8396950552e-12,1.11906369965e+14
ASGR,0.000218069095247,3.79931560605e-10,1669654011.48,3.82776526058e-12,1.14297387513e+14
ASHL,0.000158384275212,2.65813238375e-10,1306400597.96,2.66922542587e-12,1.4565486156e+14
ASHR,0.000158321971169,2.64862382314e-10,1314169784.13,2.68158579043e-12,1.5193762233e+14
ASIL,0.000162939590529,2.71916686088e-10,1372784948.9,2.72514626034e-12,1.52350862929e+14
ASIR,0.0001628986258,2.71215184626e-10,1382467039.76,2.73164752432e-12,1.50716514768e+14
ASJL,0.000163509340295,2.79769546277e-10,1275083625.97,2.82466855162e-12,1.37157904139e+14
ASJR,0.000232049833619,4.23273181243e-10,1573339877.24,4.42165045299e-12,1.39502598219e+14
ASKL,0.000155044800731,2.62670933208e-10,1232483357.05,2.65334583822e-12,1.22077792905e+14
ASKR,0.000155028917926,2.61328449638e-10,1270381413.3,2.63676588294e-12,1.23222630545e+14
AUAL,0.000122387497244,1.58586186177e-10,1665546470.93,1.62962050493e-12,5.25598389312e+14
AUAR,0.000122387135589,1.57632878074e-10,1693714070.75,1.61560522532e-12,5.28656792478e+14
AVAL,0.00146573019582,2.21650175342e-09,14855772958.9,2.21431718943e-11,9.57389356201e+13
AVAR,0.00146587367561,2.20290894544e-09,15137041675.4,2.19260107013e-11,9.6972511455e+13
AVBL,0.00150703731932,2.28415220632e-09,15055172706.7,2.29482354772e-11,1.15887076146e+14
AVBR,0.00150715323357,2.23236603935e-09,16391651219.4,2.19062320411e-11,1.15429698302e+14
AVDL,0.00147227053308,2.42687029828e-09,12208881748.4,2.62988204958e-11,8.84072729979e+13
AVDR,0.00147227873558,2.42630563701e-09,12182848555.3,2.63090174875e-11,8.79956371423e+13
AVEL,0.000381558428377,5.34319370898e-10,4506443974.46,5.33806042092e-12,3.81082039011e+14
AVER,0.000381453281186,5.36982107603e-10,4441329005.44,5.36115379588e-12,3.0247980067e+14
AVFL,0.00144480971098,2.55025352785e-09,10954582400.5,2.91473794431e-11,1.46134742198e+14
AVFR,0.00144495288567,2.54923894936e-09,11030793227.9,2.91320036146e-11,1.54298520488e+14
AVG,0.000767854199349,1.08596034896e-09,9216431454.98,1.07420751992e-11,1.04035981651e+14
AVHL,0.000778041800149,1.111570483e-09,8763243114.43,1.11366419719e-11,1.93684873172e+14
AVHR,0.000777760569296,1.110857245e-09,8798223962.24,1.11095100225e-11,1.99758427948e+14
AVJL,0.000777651120204,1.12291703301e-09,8664864165.3,1.12131519616e-11,1.27889125528e+14
AVJR,0.000778228208582,1.11282858718e-09,8768664215.51,1.11348507945e-11,1.26259840658e+14
AVKL,0.00148424699304,2.25693449885e-09,14682010695.6,2.28541850242e-11,1.28487021765e+14
AVKR,0.00150547997666,2.18243951635e-09,17880729588.0,2.10901158425e-11,1.23822314796e+14
AVL,0.000792647423809,1.12610112351e-09,9131957184.29,1.12818919906e-11,3.76959854514e+14
AVM,0.000366877608194,5.77088029083e-10,3949072503.6,5.71214896488e-12,3.30712655462e+14
AWAL,0.000157724091931,2.69815752613e-10,1236082220.09,2.71664970556e-12,1.34758971129e+14
