PHBL,sensory
OLLR,sensory
VA09,motor
DA03,motor
ASGL,sensory
AIYR,interneuron
VC02,motor
M05,motor
VD02,motor
PVPR,interneuron
VA01,motor
AVFR,interneuron
SMDVL,motorinterneuron
PVCR,interneuron
RIVR,motorinterneuron
DB06,motor
SDQR,interneuron
AIAL,interneuron
RIAR,interneuron
VA05,motor
OLLL,sensory
AWAL,sensory
RID,interneuron
RMDVR,motor
ADFR,sensory
AVJR,interneuron
SIBDR,interneuron
DA08,motor
RMHL,motor
RIS,interneuron
SABVR,interneuron
RIGR,interneuron
URYDR,sensory
ADER,sensory
ALMR,sensory
SIAVR,interneuron
ALNL,unknown
RMER,motor
VA03,motor
SMBVL,motorinterneuron
SMDDL,motorinterneuron
I04,interneuron
RIBR,interneuron
AVM,sensory
M02L,motor
URBL,interneuron
ASKL,sensory
ADFL,sensory
RMGL,interneuron
AWBL,sensory
AS01,motor
PDB,motor
AVAR,interneuron
IL02DL,sensory
ADLL,sensory
DA05,motor
SIAVL,interneuron
AWCL,sensory
AFDL,sensory
VD03,motor
VC04,motor
DD02,motor
DB01,motor
CEPDR,sensory
DA01,motor
I02R,interneuron
PDA,sensorymotor
OLQDL,sensoryinterneuron
DVB,motorinterneuron
LUAL,interneuron
AIYL,interneuron
VD01,motor
PVPL,interneuron
DD01,motor
SAAVR,interneuron
DA09,motor
VB03,motor
PHAR,sensory
IL01R,sensorymotorinterneuron
I03,interneuron
BDUL,interneuron
AIBR,interneuron
AFDR,sensory
AVDR,interneuron
PVT,interneuron
URBR,interneuron
M04,motor
DB02,motor
M03R,sensorymotor
ASKR,sensory
RIR,interneuron
URAVR,motor
PVR,interneuron
AVKR,interneuron
AVBR,interneuron
RMED,motor
PQR,sensory
I05,sensoryinterneuron
DD05,motor
URADR,motor
IL02L,sensory
AVDL,interneuron
AVHR,interneuron
PVNL,motorinterneuron
ASJL,sensory
VB04,motor
VC01,motor
VA02,motor
AS07,motor
VD09,motor
IL01L,sensorymotorinterneuron
VB01,motor
PDER,sensory
I01R,interneuron
FLPL,sensory
SDQL,interneuron
AS02,motor
VA01,motor
DVA,sensoryinterneuron
ADEL,sensory
AIMR,interneuron
AWCR,sensory
AIBL,interneuron
ASER,sensory
PLMR,sensory
SAAVL,interneuron
CEPDL,sensory
PVDR,sensory
NSMR,sensory
ASHR,sensory
RIH,interneuron
RMEL,motor
PLNL,interneuron
SIBDL,interneuron
SAADL,interneuron
BAGR,sensory
AVFL,interneuron
AUAL,interneuron
SABVL,interneuron
DA06,motor
RMDR,motor
AINR,interneuron
RICL,interneuron
SAADR,interneuron
ADLR,sensory
AQR,sensory
VD04,motor
URAVL,motor
SMBDL,motorinterneuron
IL01VL,sensorymotorinterneuron
PVWL,interneuron
HSNR,motor
AVL,motorinterneuron
OLQVL,sensoryinterneuron
PHCL,sensory
VB09,motor
DD04,motor
HSNL,motor
I06,interneuron
AVHL,interneuron
PHCR,sensory
URXL,sensoryinterneuron
AVEL,interneuron
RIBL,interneuron
AWAR,sensory
PVCL,interneuron
SIBVR,interneuron
VC03,motor
RMHR,motor
AS01,motor
ALNR,unknown
VA06,motor
ADAL,interneuron
BDUR,interneuron
DB04,motor
IL02VL,sensory
AVER,interneuron
RIAL,interneuron
AUAR,interneuron
AWBR,sensory
PHAL,sensory
CANR,
IL01DR,sensorymotorinterneuron
ALA,interneuron
RIGL,interneuron
CEPVR,sensory
VA01,motor
CEPVL,sensory
M02R,motor
AVAL,interneuron
VB01,motor
AS06,motor
SMDDR,motorinterneuron
DA02,motor
AVKL,interneuron
IL02R,sensory
VA07,motor
DB03,motor
ALML,sensory
AVBL,interneuron
NSML,sensory
DB05,motor
AINL,interneuron
PVQL,interneuron
SMDVR,motorinterneuron
RMDDL,motor
I02L,interneuron
AVJL,interneuron
VB02,motor
MCR,sensorymotor
ASEL,sensory
VD05,motor
AS03,motor
AIAR,interneuron
SIBVL,interneuron
VB05,motor
SMBDR,motorinterneuron
I01L,interneuron
OLQVR,sensoryinterneuron
VC06,motor
VD01,motor
BAGL,sensory
DA07,motor
VB01,motor
DD03,motor
VA01,motor
RMDVL,motor
IL01VR,sensorymotorinterneuron
M01,motor
SMBVR,motorinterneuron
DVC,interneuron
URYVL,sensory
AS09,motor
RIVL,motorinterneuron
RMFL,motor
RIMR,motor
IL02DR,sensory
VB07,motor
DA04,motor
ASHL,sensory
RMFR,motor
AVG,interneuron
VD01,motor
CANL,
URADL,motor
ADAR,interneuron
PDEL,sensory
ASGR,sensory
PVQR,interneuron
RIFR,interneuron
PVNR,motorinterneuron
RIPR,interneuron
PVM,sensory
VA04,motor
RIFL,interneuron
AS05,motor
LUAR,interneuron
MI,motorinterneuron
AIZR,interneuron
SABD,interneuron
IL01DL,sensorymotorinterneuron
ASIR,sensory
VD01,motor
VD07,motor
OLQDR,sensoryinterneuron
AS08,motor
DB07,motor
VA08,motor
SIADR,interneuron
ASJR,sensory
VD01,motor
VD08,motor
PVWR,interneuron
RICR,interneuron
VD06,motor
RMEV,motor
URXR,sensoryinterneuron
ASIL,sensory
RIPL,interneuron
PVDL,sensory
AS01,motor
URYDL,sensory
RMDDR,motor
MCL,sensorymotor
FLPR,sensory
IL02VR,sensory
VB06,motor
RMDL,motor
PLML,sensory
PHBR,sensory
DD06,motor
URYVR,sensory
VC05,motor
AS04,motor
VB08,motor
AIZL,interneuron
M03L,sensorymotor
AIML,interneuron
RMGR,interneuron
PLNR,interneuron
SIADL,interneuron
RIML,motor
